Triple,Anomaly Description,Correction Suggestion
Ignacije_Szentmartony -> bornOnDate -> 1718-##-##,Missing month and day data,Provide complete date.
Henry_Schoolcraft -> bornOnDate -> 1793-##-##,Missing month and day data,Provide complete date.
Bayezid_I -> bornOnDate -> 1354-##-##,Missing month and day data,Provide complete date.
Dionysius_Thrax -> bornOnDate -> 170-##-##,Missing month and day data,Provide complete date.
Oxana_Fedorova -> bornOnDate -> 1977-##-##,Missing month and day data,Provide complete date.
Hazen_Argue -> bornOnDate -> 1921-##-##,Missing month and day data,Provide complete date.
Fromental_Halévy -> bornOnDate -> 1799-##-##,Missing month and day data,Provide complete date.
Constantijn_Huygens -> bornOnDate -> 1596-##-##,Missing month and day data,Provide complete date.
Gaspar_Corte-Real -> bornOnDate -> 145#-##-##,Invalid year data,Correct the year value.
Yazid_II -> bornOnDate -> 687-##-##,Missing month and day data,Provide complete date.
1. Dafydd_ap_Llywelyn -> bornOnDate -> 1208-##-##,Missing date components,Specify complete birth date.
2. Lorrie_Fair -> bornOnDate -> 1976-##-##,Missing date components,Specify complete birth date.
3. C._W._Post -> bornOnDate -> 1854-##-##,Missing date components,Specify complete birth date.
4. Bugge_Wesseltoft -> bornOnDate -> 1964-##-##,Missing date components,Specify complete birth date.
5. Dallin_H._Oaks -> bornOnDate -> 1932-##-##,Missing date components,Specify complete birth date.
6. Pavol_Hudák -> bornOnDate -> 1959-##-##,Missing date components,Specify complete birth date.
Sushruta -> bornOnDate -> 5##-##-##,Incomplete date,Fill in complete birth date.
Sholom_Dovber_Schneersohn -> bornOnDate -> 1860-##-##,Incomplete date,Fill in complete birth date.
Marina_Tsvetaeva -> bornOnDate -> 1892-##-##,Incomplete date,Fill in complete birth date.
Pascin -> bornOnDate -> 1885-##-##,Incomplete date,Fill in complete birth date.
Birgit_Prinz -> bornOnDate -> 1977-##-##,Incomplete date,Fill in complete birth date.
Eden_Phillpotts -> bornOnDate -> 1862-##-##,Incomplete date,Fill in complete birth date.
Wally_Schirra -> bornOnDate -> 1923-##-##,Incomplete date,Fill in complete birth date.
Affirmed -> bornOnDate -> 1975-##-##,Horse entity with human birth attribute,Remove or correct attribute.
Elena_Berezhnaya -> bornOnDate -> 1977-##-##,Incomplete date,Fill in complete birth date.
Eric_Hinske -> bornOnDate -> 1977-##-##,Incomplete date,Fill in complete birth date.
Eric_V_of_Denmark -> bornOnDate -> 1249-##-##,Incomplete date,Fill in complete birth date.
Fabre_d%27Églantine -> bornOnDate -> 1750-##-##,Incomplete date format,Specify full date.
Coluccio_Salutati -> bornOnDate -> 1331-##-##,Incomplete date format,Specify full date.
Tauno_Palo -> bornOnDate -> 1905-##-##,Incomplete date format,Specify full date.
Kapil_Dev -> bornOnDate -> 1959-##-##,Incomplete date format,Specify full date.
Asia_Carrera -> bornOnDate -> 1973-##-##,Incomplete date format,Specify full date.
Gretha_Smit -> bornOnDate -> 1976-##-##,Incomplete date format,Specify full date.
Lead_Belly -> bornOnDate -> 1889-##-##,Incomplete date format,Specify full date.
Pam_Gems -> bornOnDate -> 1925-##-##,Incomplete date format,Specify full date.
Inês_de_Castro -> bornOnDate -> 1325-##-##,Incomplete date format,Specify full date.
Juha_Kankkunen -> bornOnDate -> 1959-##-##,Incomplete date format,Specify full date.
Adrien_Baillet -> bornOnDate -> 1649-##-##,Incomplete date format,Specify full date.
Austin_M._Allran -> bornOnDate -> 1951-##-##,Incomplete date format,Specify full date.
Iovianus_Pontanus -> bornOnDate -> 1426-##-##,Incomplete date format,Specify full date.
1. August_Palm -> bornOnDate -> 1849-##-##,Incomplete date,Use full date if available.
2. Loel_Guinness -> bornOnDate -> 1906-##-##,Incomplete date,Use full date if available.
3. Dizzy_Dean -> bornOnDate -> 1910-##-##,Incomplete date,Use full date if available.
4. Bertram_Fields -> bornOnDate -> 1929-##-##,Incomplete date,Use full date if available.
5. Wayland_Holyfield -> bornOnDate -> 1942-##-##,Incomplete date,Use full date if available.
6. Mehdi_Mahdavikia -> bornOnDate -> 1977-##-##,Incomplete date,Use full date if available.
7. Cunedda -> bornOnDate -> 386-##-##,Incomplete date,Use full date if available.
1. Jason_Gillespie -> bornOnDate -> 1975-##-##,Missing day and month,Replace ## with actual date.
2. Eric_I_of_Denmark -> bornOnDate -> 107#-##-##,Incomplete year and missing full date,Use complete date.
3. Petr_Chelčický -> bornOnDate -> 1390-##-##,Missing month and day,Provide full birthdate.
4. Canute_IV_of_Denmark -> bornOnDate -> 1043-##-##,Missing month and day,Add complete birthdate.
5. D%27Arcy_McGee -> bornOnDate -> 1825-##-##,Partial date missing month/day,Supply specific date.
6. Eric_IV_of_Denmark -> bornOnDate -> 1216-##-##,Date lacks month and day,Insert full birthdate.
1. Amalric_II_of_Jerusalem -> bornOnDate -> 1145-##-##,Missing specific date,Use historical records for exact date.
2. Luke_Pebody -> bornOnDate -> 1977-##-##,Missing specific date,Research to find exact date.
3. Squanto -> bornOnDate -> 158#-##-##,Non-specific century/year,Historical research needed.
4. Crispus_Attucks -> bornOnDate -> 1723-##-##,Missing specific date,Find historical documentation.
5. Géza_I_of_Hungary -> bornOnDate -> 104#-##-##,Non-specific century/year,Historical research needed.
6. Dietmar_Hamann -> bornOnDate -> 1973-##-##,Missing specific date,Find exact birth date.
7. Ken_Silverman -> bornOnDate -> 1975-##-##,Missing specific date,Research for more details.
Natalie_Imbruglia -> bornOnDate -> 1975-##-##,Incomplete date of birth,Provide complete date.
Werburgh -> bornOnDate -> 6##-##-##,Improbable year from the future,Correct year.
Ashraf_Choudhary -> bornOnDate -> 1949-##-##,Incomplete date of birth,Provide complete date.
Birendra_of_Nepal -> bornOnDate -> 1945-##-##,Incomplete date of birth,Provide complete date.
Magnus_VI_of_Norway -> bornOnDate -> 1238-##-##,Incomplete date format,Specify exact birth date.
Saverio_Bettinelli -> bornOnDate -> 1718-##-##,Incomplete date format,Specify exact birth date.
Geert_Groote -> bornOnDate -> 1340-##-##,Incomplete date format,Specify exact birth date.
Boris_Derjaguin -> bornOnDate -> 1902-##-##,Incomplete date format,Specify exact birth date.
S._R._Ranganathan -> bornOnDate -> 1892-##-##,Incomplete date format,Specify exact birth date.
J._J._Lynx -> bornOnDate -> 1900-##-##,Incomplete date format,Specify exact birth date.
Felice_Gimondi -> bornOnDate -> 1942-##-##,Incomplete date format,Specify exact birth date.
Mechthild_of_Magdeburg -> bornOnDate -> 1210-##-##,Incomplete date format,Specify exact birth date.
1. Sister_Abhaya_murder_case -> bornIn -> Kottayam,Event with birth relation,Change predicate to 'happenedIn'
Barb_Tarbox -> bornOnDate -> 1961-##-##,Partial date anomaly,Provide full date
Constans -> bornOnDate -> 320-##-##,Partial date anomaly,Provide full date
Archimedes -> bornOnDate -> 287-##-##,Partial date anomaly,Provide full date
Hattie_Caraway -> bornOnDate -> 1878-##-##,Partial date anomaly,Provide full date
John_Henry_(horse) -> bornOnDate -> 1975-##-##,Partial date anomaly,Provide full date
Ken_Sugimori -> bornOnDate -> 1966-##-##,Partial date anomaly,Provide full date
Greg_Moore_(race_car_driver) -> bornOnDate -> 1975-##-##,Partial date anomaly,Provide full date
Chief_Pontiac -> bornOnDate -> 172#-##-##,Incomplete year anomaly,Provide full year
Kemal_Sunal -> bornOnDate -> 1944-##-##,Partial date anomaly,Provide full date
Groff_Conklin -> bornOnDate -> 1904-##-##,Invalid birth date format,Use exact date format.
Adnan_Gulshair_el_Shukrijumah -> bornOnDate -> 1975-##-##,Invalid birth date format,Use exact date format.
Ngila_Dickson -> bornOnDate -> 1958-##-##,Invalid birth date format,Use exact date format.
Cian_Ciaran -> bornOnDate -> 1976-##-##,Invalid birth date format,Use exact date format.
Fa_Ngum -> bornOnDate -> 1316-##-##,Invalid birth date format,Use exact date format.
Valens -> bornOnDate -> 328-##-##,Invalid birth date format,Use exact date format.
Gemistus_Pletho -> bornOnDate -> 1355-##-##,Invalid birth date format,Use exact date format.
Oxana_Malaya -> bornOnDate -> 1983-##-##,Invalid birth date format,Use exact date format.
Edmond_Yu -> bornOnDate -> 1961-##-##,Invalid birth date format,Use exact date format.
David_Beckham -> bornOnDate -> 1975-##-##,Invalid birth date format,Use exact date format.
1. Murad_II -> bornOnDate -> 1404-##-##,Incomplete date,Fill missing month and day.
2. Christian_Pineau -> bornOnDate -> 1904-##-##,Incomplete date,Fill missing month and day.
3. Whitfield_Diffie -> bornOnDate -> 1944-##-##,Incomplete date,Fill missing month and day.
4. Svetoslav_Roerich -> bornOnDate -> 1904-##-##,Incomplete date,Fill missing month and day.
5. Dillinja -> bornOnDate -> 1974-##-##,Incomplete date,Fill missing month and day.
6. Caspar_Schoppe -> bornOnDate -> 1576-##-##,Incomplete date,Fill missing month and day.
7. Thoinot_Arbeau -> bornOnDate -> 1519-##-##,Incomplete date,Fill missing month and day.
8. Irenaeus -> bornOnDate -> 1##-##-##,Incomplete and malformed date,Correct year and complete date.
9. Sushun -> bornOnDate -> 1816-##-##,Incomplete date,Fill missing month and day.
10. Max_Baucus -> bornOnDate -> 1941-##-##,Incomplete date,Fill missing month and day.
11. Magnus_III_of_Norway -> bornOnDate -> 1073-##-##,Incomplete date,Fill missing month and day.
12. Sahlene -> bornOnDate -> 1976-##-##,Incomplete date,Fill missing month and day.
13. Claiborne_Pell -> bornOnDate -> 1918-##-##,Incomplete date,Fill missing month and day.
14. Oscar_Torp -> bornOnDate -> 1893-##-##,Incomplete date,Fill missing month and day.
Galba -> bornOnDate -> 3-##-##,Incomplete date,Add complete date.
Tuanku_Imam_Bonjol -> bornOnDate -> 1772-##-##,Incomplete date,Add complete date.
Furnifold_McLendel_Simmons -> bornOnDate -> 1854-##-##,Incomplete date,Add complete date.
Godfrey_Kneller -> bornOnDate -> 1646-##-##,Incomplete date,Add complete date.
Corrine_Brown -> bornOnDate -> 1946-##-##,Incomplete date,Add complete date.
Stepin_Fetchit -> bornOnDate -> 1902-##-##,Incomplete date,Add complete date.
Uncas -> bornOnDate -> 158#-##-##,Incomplete date format,Specify complete date.
Laurent_Cassegrain -> bornOnDate -> 1629-##-##,Incomplete date format,Specify complete date.
Jacek_Dukaj -> bornOnDate -> 1974-##-##,Incomplete date format,Specify complete date.
Pertinax -> bornOnDate -> 126-##-##,Incomplete date format,Specify complete date.
Decius -> bornOnDate -> 201-##-##,Incomplete date format,Specify complete date.
Bonaventura_Cavalieri -> bornOnDate -> 1598-##-##,Incomplete date format,Specify complete date.
- Bram_Moolenaar -> bornOnDate -> 1961-##-##,Incomplete date,Add missing month and day.
- T._O._Engset -> bornOnDate -> 1865-##-##,Incomplete date,Add missing month and day.
- Pema_Chödrön -> bornOnDate -> 1936-##-##,Incomplete date,Add missing month and day.
- Balthild -> bornOnDate -> 626-##-##,Incomplete date,Add missing month and day.
- Fulvia -> bornOnDate -> 77-##-##,Incomplete date,Add missing month and day.
- Dosso_Dossi -> bornOnDate -> 149#-##-##,Improper date format,Correct the year.
- Adamantios_Korais -> bornOnDate -> 1748-##-##,Incomplete date,Add missing month and day.
1. Orlande_de_Lassus -> bornOnDate -> 153#-##-##,Incomplete date format,Use full date format.
2. Gene_Sarazen -> bornOnDate -> 1902-##-##,Incomplete date format,Use full date format.
3. Tien_Shinhan -> bornOnDate -> 733-##-##,Fictional character date,Remove or clarify fictional context.
4. Tāwhiao -> bornOnDate -> 1822-##-##,Incomplete date format,Use full date format.
5. Benedict_Jablonski -> bornOnDate -> 191#-##-##,Incomplete date format,Use full date format.
6. Quincy_Carter -> bornOnDate -> 1977-##-##,Incomplete date format,Use full date format.
1. Mitrasen -> bornIn -> Faizabad,Insufficient context for entity,Specify full name or identifier.
